Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,564.940002,569.000000,550.400024,558.119995,541.775391,2030500
2021-12-06,564.650024,568.369995,555.950012,564.979980,548.434509,2248200
2021-12-07,572.000000,593.070007,572.000000,590.400024,573.110168,2956200
2021-12-08,590.940002,590.940002,582.429993,588.559998,571.323975,1799800
2021-12-09,582.450012,590.239990,582.450012,583.419983,566.334534,2908000
2021-12-10,623.979980,644.750000,618.590027,631.679993,613.181213,5708700
2021-12-13,634.000000,634.419983,621.229980,621.659973,603.454590,2689800
2021-12-14,617.840027,618.619995,605.640015,614.909973,596.902222,3595600
2021-12-15,615.570007,640.859985,610.340027,639.859985,621.121704,2909200
2021-12-16,637.359985,640.659973,611.500000,620.679993,602.503357,4274800
2021-12-17,617.530029,639.989990,615.099976,634.960022,616.365112,5066100
2021-12-20,626.299988,646.090027,625.090027,645.030029,626.140320,3277000
2021-12-21,648.099976,649.469971,633.299988,646.239990,631.327759,3653400
2021-12-22,643.320007,657.159973,639.260010,655.200012,640.080994,2838300
2021-12-23,656.130005,670.729980,656.130005,664.799988,649.459412,2359600
2021-12-27,664.799988,676.299988,664.460022,674.280029,658.720703,1944200
2021-12-28,677.549988,677.760010,667.030029,669.000000,653.562500,1724700
2021-12-29,669.799988,677.000000,669.119995,672.609985,657.089172,1479700
2021-12-30,673.099976,675.700012,663.840027,665.080017,649.732971,1147300
2021-12-31,666.969971,671.309998,663.270020,665.409973,650.055359,1204600
2022-01-03,666.320007,671.700012,661.219971,663.320007,648.013550,2259100
2022-01-04,662.880005,672.190002,657.229980,670.919983,655.438232,2110300
2022-01-05,671.210022,671.210022,642.010010,643.000000,628.162415,3496100
2022-01-06,640.159973,648.650024,634.429993,637.030029,622.330261,2858100
2022-01-07,635.849976,639.909973,618.460022,619.150024,604.862854,2783200
2022-01-10,608.859985,622.039978,603.570007,621.159973,606.826477,2979300
2022-01-11,615.539978,628.000000,614.570007,622.049988,607.695923,1903700
2022-01-12,627.510010,630.989990,619.739990,622.000000,607.647034,1880600
2022-01-13,627.469971,627.880005,594.150024,597.190002,583.409607,3004800
2022-01-14,595.780029,600.380005,592.000000,596.369995,582.608521,2566100
2022-01-18,588.320007,591.039978,575.989990,577.789978,564.457153,3582500
2022-01-19,581.580017,584.729980,563.330017,563.969971,550.956055,2269200
2022-01-20,568.000000,570.140015,546.770020,547.719971,535.081116,2522500
